NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,isStatic_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,isStatic_method,is_SS
3,7,6,1,10,4,28,5,0,8,0,18,0.333333,3,3,3,1,4,0,0.75,0,7,0,1,3,3,3,5,0,0,14,1,0,0,1,0,14,0,0,1,0,14,7,0,1,0,1
0,9,5,3,9,5,87,10,0,5,0,18,0.444444,6,7,4,3,12,0,0.5,1,11,0,0,5,5,5,11,0,0,19,1,0,2,0,0,22,0,0,0,0,22,12,0,1,0,1
0,11,0,0,12,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,9,0,0,15,25,15,130,0,10,54,11,0,0,0,0,65,8,0,0,8,57,62,0,1,0,0
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,6,0,1,1,1,1,6,0,0,14,0,1,0,0,0,15,1,0,0,1,14,9,0,1,0,0
1,1,0,0,1,1,6,2,0,1,0,3,1,0,0,2,2,0,0,0,0,3,0,2,3,4,2,0,1,2,10,2,0,0,0,0,12,8,0,0,8,4,10,0,2,0,0
1,0,0,0,0,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,1,22,1,4,4,4,22,0,0,41,0,6,0,0,0,47,0,0,0,0,47,21,1,0,0,0
1,1,0,0,1,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,10,9,1,6,6,6,14,0,0,29,3,4,0,0,0,36,1,0,0,1,35,19,0,2,0,0
1,11,0,0,11,1,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0
1,8,1,1,21,2,7,2,0,2,0,6,0.666667,3,2,2,0,3,0,1,0,10,39,0,21,10,10,33,11,0,187,5,9,0,11,0,190,2,0,11,2,188,134,0,5,0,1
1,10,0,0,11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,23,0,0,0,0,23,0,0,0,0,0,23,15,0,0,0,0
1,11,0,0,11,1,4,1,0,1,0,2,1,0,0,1,1,0,0,0,0,10,0,0,10,6,6,0,4,0,23,4,0,0,16,0,11,6,0,16,6,5,25,0,1,0,0
0,0,2,2,0,2,18,2,0,4,0,10,0,5,5,0,0,7,0,0.714286,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0
3,0,0,0,0,1,6,1,0,3,0,2,0,0,0,0,1,0,0,0,0,9,0,0,2,3,2,6,0,1,30,3,1,0,2,0,32,2,0,2,2,30,25,0,1,0,0
1,4,0,0,7,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,13,1,0,11,11,11,12,0,0,27,0,1,0,0,0,28,1,0,0,1,27,16,0,2,0,0
1,8,0,0,11,2,27,3,0,3,0,5,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,9,8,0,1,0,0
2,11,0,0,12,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,13,0,0,0,0,13,0,0,0,0,0,13,13,0,0,0,0
2,10,1,1,22,3,52,10,0,5,0,16,0.888889,4,5,8,8,6,0,0.666667,0,17,3,0,7,4,4,17,3,0,95,5,17,0,0,0,117,0,0,0,0,117,94,0,2,0,1
1,10,1,1,11,5,36,9,0,3,0,11,1,2,1,7,0,3,0,0.666667,0,65,0,0,6,6,4,88,2,2,106,17,3,0,0,0,126,5,0,0,5,121,99,0,2,0,0
1,3,0,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,26,0,0,0,0,26,0,0,0,0,0,26,21,0,0,0,0
0,1,0,0,2,1,7,2,0,0,0,4,1,1,1,4,0,1,0,1,1,4,0,2,5,0,0,2,5,0,2,0,0,1,0,0,3,0,0,0,0,3,2,0,1,0,0
0,2,0,0,3,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,3,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,1,0,0
1,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,13,0,0,0,0,0,13,0,0,0,0,13,12,0,1,0,0
2,6,2,1,7,2,28,4,0,3,0,12,0.666667,4,3,4,4,5,0,0.8,0,2,17,0,3,3,3,16,0,0,72,3,2,0,0,0,77,0,0,0,0,77,53,0,1,0,1
0,7,0,0,13,2,11,3,0,1,0,3,1,3,3,1,1,3,0,1,0,8,0,0,3,6,3,4,0,3,16,9,0,1,0,0,26,1,0,0,1,25,20,0,1,0,1
0,8,0,0,13,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,27,0,0,21,9,8,7,13,1,18,9,0,0,4,0,23,0,0,4,0,23,18,0,1,0,0
3,7,0,0,51,1,4,1,0,3,0,4,1,1,1,1,0,1,0,1,0,2,0,0,1,1,1,1,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,4,0,0
1,9,6,4,17,2,36,7,0,2,0,15,0.538462,5,5,7,3,5,0,1,0,15,0,40,5,0,0,56,5,0,80,8,0,28,0,0,116,4,0,0,4,112,79,0,1,0,1
0,8,0,0,17,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,8,0,0,50,2,0,0,0,0,52,1,0,0,1,51,38,0,2,0,0
1,10,0,0,14,2,7,2,0,2,0,3,1,0,0,1,0,0,0,0,0,5,0,0,3,3,1,0,2,2,14,0,0,0,0,0,14,5,0,0,5,9,12,0,1,0,0
2,0,10,5,0,4,198,21,1,22,2,35,0.285714,8,7,4,1,15,2,0.533333,0,9,1,1,4,5,4,6,0,1,5,3,3,0,0,0,11,1,0,0,1,10,11,0,0,0,0
0,6,0,0,11,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,5,2,0,4,7,4,2,0,3,27,1,0,0,0,0,28,5,0,0,5,23,24,0,2,0,0
1,11,0,0,13,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,21,21,0,0,0,0
2,1,42,7,1,4,553,150,0,6,0,93,0.589744,11,20,46,0,21,0,0.52381,0,33,16,19,59,62,59,6,0,3,11,0,2,1,0,0,14,1,0,0,1,13,10,0,2,0,0
0,8,0,0,46,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,28,2,4,8,8,8,40,0,0,41,15,4,5,0,0,65,0,0,0,0,65,49,0,1,0,0
0,10,0,0,11,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,6,0,0,1,1,1,5,0,0,17,0,0,0,17,0,0,0,0,17,0,0,9,0,0,0,0
1,1,1,1,1,1,4,2,0,2,0,4,0.5,1,0,1,0,1,0,1,0,1,0,0,275,275,275,0,0,0,2,3,0,0,0,0,5,5,0,0,5,0,5,0,0,1,0
1,11,4,2,16,4,36,4,1,10,2,17,0.2,7,10,1,0,13,2,0.538462,0,5,0,0,0,2,0,3,0,2,10,0,0,0,0,0,10,3,0,0,3,7,6,0,1,0,1
3,1,0,0,1,1,5,1,0,3,0,5,1,1,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,2,0,0
1,8,6,1,11,1,32,1,0,4,0,13,0.142857,7,8,1,1,15,0,0.466667,0,2,0,0,0,0,0,2,0,0,6,1,0,0,0,0,7,1,0,0,1,6,6,0,1,0,1
3,6,1,1,6,1,3,1,0,3,0,4,0,3,3,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,4,0,2,0,0,1,5,1,0,0,1,5,6,0,0,1,1
2,12,0,0,13,2,15,5,0,5,0,4,0,5,5,0,1,5,0,1,0,8,0,0,12,4,4,0,8,0,20,19,0,0,0,0,39,3,0,0,3,36,37,0,1,0,1
1,8,6,4,10,2,27,3,0,11,0,19,0,7,12,0,1,16,0,0.4375,0,20,0,1,14,22,14,0,0,8,209,9,0,0,0,0,218,218,0,0,218,0,218,0,0,1,1
3,1,0,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0
0,1,0,0,1,1,4,1,0,0,0,3,1,0,0,3,0,0,0,0,0,9,12,0,5,5,5,31,0,0,41,2,1,0,14,1,29,0,0,14,0,30,32,0,0,0,0
5,10,0,0,10,2,14,3,0,7,0,7,0,4,4,0,0,4,0,1,0,2,0,0,0,0,0,2,0,0,7,0,2,0,0,1,8,0,0,0,0,9,6,0,1,0,1
4,1,2,2,1,1,12,1,0,4,0,15,0.818182,3,3,9,1,4,0,0.75,0,1,0,10,1,1,1,10,0,0,3,44,0,1,0,0,48,0,0,0,0,48,47,0,1,0,0
2,11,0,0,11,1,11,3,0,2,0,4,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,15,0,0,0,0,4,11,0,0,0,0,15,10,0,1,0,0
2,0,0,0,0,4,31,5,0,8,0,9,1,0,0,1,0,0,0,0,0,5,0,1,1,6,1,0,0,5,6,0,1,0,0,0,7,7,0,0,7,0,7,0,0,1,0
1,9,0,0,12,2,23,3,0,5,0,5,0,3,3,0,2,3,0,1,0,1,0,0,1,0,0,0,1,0,4,2,0,0,0,0,6,1,0,0,1,5,5,0,1,0,1
2,5,3,1,10,5,32,6,1,8,2,16,0.375,5,2,3,0,6,2,0.833333,0,6,47,1,82,82,82,53,0,0,111,4,10,26,0,0,151,4,0,0,4,147,94,0,2,0,1
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0
0,0,1,1,0,8,169,33,0,19,0,22,0.666667,2,3,2,0,3,0,0.666667,0,35,1,0,27,11,11,9,16,0,32,6,1,3,10,0,32,2,0,10,2,30,40,0,1,0,0
2,0,1,1,0,2,37,2,0,3,0,8,0,4,3,0,2,5,0,0.8,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,4,17,0,0,0,0,21,20,0,1,0,0
0,7,0,0,24,3,42,7,0,4,0,11,1,3,4,5,0,6,0,0.5,0,7,0,0,0,1,0,6,0,1,17,0,0,0,0,0,17,0,0,0,0,17,7,0,3,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0
2,2,0,0,3,2,9,2,0,3,0,5,1,1,1,2,1,1,0,1,0,3,0,0,2,2,2,1,0,0,12,2,0,0,0,0,14,0,0,0,0,14,13,0,1,0,0
0,7,0,0,7,1,11,3,0,1,0,18,1,7,4,4,0,7,0,1,0,13,1,0,0,2,0,12,0,2,23,0,1,0,0,0,24,0,0,0,0,24,6,0,1,0,1
3,6,0,0,12,3,20,4,0,9,0,9,0,0,0,0,0,0,0,0,0,17,0,0,21,21,21,0,0,0,29,3,0,0,0,0,32,32,0,0,32,0,32,0,0,1,0
3,8,13,3,8,4,90,24,4,6,2,19,0,9,13,0,0,21,2,0.428571,0,1,0,0,1,1,1,0,0,0,2,0,2,0,0,0,4,2,0,0,2,2,2,0,2,1,1
4,0,12,6,0,4,52,6,1,15,2,29,0.25,6,9,4,1,14,2,0.428571,0,4,0,0,0,0,0,4,0,0,4,3,2,0,0,0,9,0,0,0,0,9,5,0,1,0,0
1,10,7,4,12,3,40,7,0,2,0,23,0.5625,6,6,9,0,9,0,0.666667,0,6,0,10,1,1,1,16,0,0,17,0,0,3,0,0,20,0,0,0,0,20,15,0,3,0,1
3,11,1,1,11,4,20,4,0,5,0,6,0,3,3,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,6,0,0,0,0,6,5,1,0,0,1
0,6,0,0,29,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,16,0,10,7,7,14,3,0,124,2,9,0,2,0,133,1,0,2,1,132,107,0,5,0,0
1,7,2,2,11,2,11,3,0,5,0,8,0,3,3,0,0,5,0,0.6,0,1,0,0,0,0,0,1,0,0,13,0,0,0,0,0,13,0,0,0,0,13,11,0,1,0,1
1,0,0,0,0,2,15,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,7,6,0,0,6,1,6,0,1,1,0
0,9,1,1,26,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,5,0,0,13,2,5,0,0,0,20,0,0,0,0,20,11,0,4,0,0
1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,1,19,0,0,0,0,0,19,0,0,0,0,19,18,0,1,0,0
1,6,1,1,6,3,25,6,0,3,0,6,0.666667,3,4,2,1,4,0,0.75,0,1,5,18,13,13,13,15,0,0,23,0,1,57,0,0,81,7,0,0,7,74,64,0,3,0,1
0,8,0,0,13,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,1,0,0,3,5,0,0,0,0,8,4,0,0,0,0
1,6,3,1,10,2,32,11,0,7,0,11,0.4,3,5,2,2,8,0,0.375,0,31,0,0,4,4,4,31,0,0,90,5,0,0,0,0,95,0,0,0,0,95,54,0,3,0,1
1,5,0,0,6,5,66,12,0,8,0,18,1,5,11,10,2,12,0,0.416667,0,1,15,0,4,4,4,12,0,0,34,5,0,0,0,0,39,1,0,0,1,38,24,1,0,0,1
5,7,0,0,35,1,6,1,0,5,0,6,1,0,0,2,1,0,0,0,0,3,0,0,1,1,1,2,0,0,3,1,0,0,0,0,4,1,0,0,1,3,1,0,1,0,0
1,5,0,0,14,2,21,4,0,3,0,8,1,4,5,5,0,5,0,0.8,0,10,0,0,6,1,1,4,5,0,23,0,0,0,0,0,23,0,0,0,0,23,19,1,0,0,1
1,11,0,0,11,1,4,1,0,1,0,3,1,0,0,1,0,0,0,0,0,5,0,0,1,1,1,4,0,0,10,4,3,0,5,2,10,0,0,5,0,12,9,0,1,0,0
0,0,0,0,0,1,6,1,0,2,0,3,1,0,0,1,1,0,0,0,0,30,0,0,27,27,27,14,0,0,13,11,0,0,9,0,15,9,0,9,9,6,21,0,2,1,0
0,0,0,0,0,1,7,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0
1,6,6,4,9,4,46,5,0,16,0,35,0.3,7,9,3,3,17,0,0.411765,0,12,1,0,12,13,12,7,0,1,79,10,3,0,0,0,92,2,0,0,2,90,61,0,7,0,1
0,7,0,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31,0,0,0,0,0,31,25,0,0,0,0
2,7,1,1,7,3,17,4,0,2,0,5,0.666667,3,4,2,2,4,0,0.75,0,8,0,0,2,2,2,8,0,0,41,4,0,0,36,0,9,3,0,36,3,6,42,0,1,0,1
2,0,0,0,0,2,10,2,0,3,0,3,0,1,1,0,3,1,0,1,0,7,0,1,1,1,1,7,0,0,56,49,38,0,0,0,143,4,0,0,4,139,142,0,1,0,0
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,11,14,0,5,5,5,20,0,0,29,7,4,0,0,0,40,0,0,0,0,40,25,0,1,0,0
2,9,0,0,17,1,3,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,1,0,4,0,0
0,0,0,0,0,1,4,1,0,0,0,1,1,1,1,1,0,1,0,1,0,8,20,0,9,9,9,27,0,0,49,2,3,0,0,0,54,0,0,0,0,54,25,0,2,0,0
0,7,0,0,29,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33,0,0,0,0,0,33,24,0,0,0,0
1,0,1,1,0,1,4,1,0,1,0,6,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,1,0,1,0,0
3,11,0,0,11,2,5,2,0,3,0,4,1,0,0,1,0,0,0,0,0,2,4,0,8,9,8,2,0,1,38,0,17,0,0,1,54,2,0,0,2,53,53,0,0,0,0
1,1,2,2,1,1,10,2,0,3,0,6,0.333333,4,3,1,0,4,0,1,0,4,0,28,10,9,9,30,1,0,57,1,0,9,0,0,67,6,0,0,6,61,34,0,2,0,0
1,0,0,0,0,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,11,0,0,27,0,0,0,0,0,27,0,0,0,0,27,4,1,0,0,0
1,2,0,0,6,1,4,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,5,0,0,0,0,5,4,0,1,0,0
1,7,3,2,7,2,25,3,0,5,0,9,0,4,4,0,3,6,0,0.666667,0,13,0,0,14,22,14,0,0,8,14,3,0,0,0,0,17,16,0,0,16,1,16,0,1,1,1
1,10,0,0,27,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,11,0,0,11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,4,19,0,0,0,0,23,22,0,1,0,0
1,6,197,56,13,3,511,178,1,40,2,263,0.112613,61,11,25,5,100,2,0.61,0,2,0,0,22,25,22,2,0,3,21,0,0,0,0,0,21,3,0,0,3,18,19,1,0,0,1
0,8,0,0,14,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,6,0,0,4,5,4,5,0,1,34,0,2,0,3,0,33,2,0,3,2,31,24,0,4,0,0
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,11,0,0,27,1,4,0,0,0,32,0,0,0,0,32,9,0,4,0,0
1,8,2,2,8,3,26,7,1,2,2,4,0,5,6,0,3,8,2,0.625,0,3,3,0,22,22,22,3,0,0,97,7,19,4,22,0,105,4,0,22,4,101,105,0,5,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,4,0,0,0,0,0,4,1,0,0,1,3,3,1,0,0,0
0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,11,0,0,0,0,11,10,0,0,0,0
1,8,0,0,18,1,3,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,17,2,0,0,1,0,18,0,0,1,0,18,14,0,4,0,0
0,9,0,0,11,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,0,0,1,0,3,0,1,8,1,2,0,0,0,11,1,0,0,1,10,10,0,1,1,0
1,10,0,0,12,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,48,0,5,21,18,18,35,3,0,99,5,3,1,1,0,107,4,0,1,4,103,39,0,5,0,0
1,7,0,0,12,4,34,6,0,3,0,8,1,3,3,4,1,4,0,0.75,1,1,7,0,1,1,1,7,0,0,19,0,1,0,0,0,20,5,0,0,5,15,14,0,4,0,1
2,10,1,1,11,3,17,4,0,4,0,6,0.5,3,3,1,0,3,0,1,0,0,1,1,8,9,8,0,0,1,35,0,0,0,0,0,35,35,0,0,35,0,35,0,0,1,1
0,9,0,0,18,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,10,0,0,6,5,5,8,1,0,27,1,1,0,0,0,29,0,0,0,0,29,17,0,5,0,0
2,13,1,1,24,3,42,9,0,4,0,10,0.833333,3,4,5,4,5,0,0.6,0,17,3,0,7,4,4,17,3,0,95,5,17,0,0,0,117,0,0,0,0,117,94,0,2,0,1
1,4,0,0,4,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0
4,0,2,1,0,1,5,1,0,4,0,6,0,2,1,0,0,3,0,0.666667,0,2,0,0,0,0,0,2,0,0,11,6,0,0,0,0,17,1,0,0,1,16,13,0,2,0,0
